Date,Open,High,Low,Close,Volume
2015/1/5,140.5,140.5,137.5,139.5,32046000
2015/1/6,137.5,137.5,133,133.5,66778000
2015/1/7,133.5,135,133.5,134,43703000
2015/1/8,136.5,138,136,138,42491000
2015/1/9,135,135.5,133,134,61558000
2015/1/12,132.5,133.5,132,132,30338000
2015/1/13,131,133,130.5,132.5,37818000
2015/1/14,132.5,133,130,130,48740000
2015/1/15,131.5,133,131.5,131.5,40607000
2015/1/16,140,140,136,137,124042000
2015/1/19,138.5,139.5,137.5,139,49986000
2015/1/20,139,139,137.5,138,32739000
2015/1/21,139.5,141,139.5,141,70464000
2015/1/22,141.5,142,139.5,140,43846000
2015/1/23,142.5,145,142.5,145,82089000
2015/1/26,145.5,145.5,143.5,145,46716000
2015/1/27,145.5,147,144.5,147,52805000
2015/1/28,146.5,147,145.5,146.5,45898000
2015/1/29,144,145,143,143.5,34459000
2015/1/30,145,145.5,141,141,43666000
2015/2/2,140.5,143,140.5,142.5,29181000
2015/2/3,143,144.5,142,144.5,27160000
2015/2/4,144.5,146.5,144,146,40416000
2015/2/5,145.5,146,143.5,145.5,23363000
2015/2/6,145.5,145.5,143,143,27301000
2015/2/9,143,143.5,141.5,142,26315000
2015/2/10,142,143,141.5,142.5,33294000
2015/2/11,146,149,146,148,71259000
2015/2/12,149.5,149.5,147.5,148.5,33577000
2015/2/13,148.5,150,148,148.5,37815000
2015/2/24,149,152,148.5,151,72531000
2015/2/25,152.5,154.5,152.5,154.5,48183000
2015/2/26,153.5,154,150.5,150.5,55574000
2015/3/2,151.5,153,148.5,149,41388000
2015/3/3,150,151,148.5,150.5,29134000
2015/3/4,150,151.5,149,150.5,32627000
2015/3/5,150,151,148.5,150,28872000
2015/3/6,149,149.5,148.5,149,31316000
2015/3/9,147.5,147.5,145,145.5,67163000
2015/3/10,145,145,144,144,46809000
2015/3/11,143.5,148,143,146,51795000
2015/3/12,147,148.5,146.5,148,32183000
2015/3/13,148,149.5,147,149,45451000
2015/3/16,149,149.5,146,146,36912000
2015/3/17,148.5,150,148.5,149,55718000
2015/3/18,151,154,150,153.5,70808000
2015/3/19,152.5,155,152.5,154,43070000
2015/3/20,151.5,154,151.5,154,37536000
2015/3/23,154,154,152.5,153.5,26285000
2015/3/24,153.5,153.5,151.5,151.5,36086000
2015/3/25,152,152.5,150.5,151,44424000
2015/3/26,145.5,147,144.5,145.5,157081000
2015/3/27,144,145.5,142.5,142.5,106610000
2015/3/30,142.5,144,142,142.5,59832000
2015/3/31,144,145.5,143,145.5,56539000
2015/4/1,145,145,143.5,144,38697000
2015/4/2,145,148,144.5,147,49213000
2015/4/7,146.5,147.5,145,146,33362000
2015/4/8,145.5,146,143,143,47500000
2015/4/9,144,145.5,143,143,46493000
2015/4/10,146,147,145,147,33819000
2015/4/13,146.5,147.5,146,147,23821000
2015/4/14,145,145.5,143.5,144,41528000
2015/4/15,143.5,144.5,141.5,143,71481000
2015/4/16,145,147,144.5,147,54354000
2015/4/17,143,144,142.5,142.5,76708000
2015/4/20,142,144,141.5,143,34341000
2015/4/21,142,143.5,141.5,142.5,36209000
2015/4/22,143.5,145,143,143.5,40606000
2015/4/23,145.5,147,145,147,46931000
2015/4/24,149,152.5,148.5,152.5,122689000
2015/4/27,153,153,150,151.5,57529000
2015/4/28,153.5,153.5,150.5,151.5,43177000
2015/4/29,150,151,148,148.5,37363000
2015/4/30,147,148.5,146.5,147,48913000
2015/5/4,148.5,148.5,146,147.5,30811000
2015/5/5,147.5,148,146,147,27559000
2015/5/6,145.5,148,145.5,147.5,18784000
2015/5/7,146,147.5,146,146.5,21826000
2015/5/8,146,147.5,146,146.5,19987000
2015/5/11,149,149,147,148.5,20326000
2015/5/12,147,148.5,147,147.5,20509000
2015/5/13,147.5,149,147,148,18844000
2015/5/14,148,148.5,146,146,38700000
2015/5/15,147,147,145,146.5,24295000
2015/5/18,147,147,145,146.5,22879000
2015/5/19,145.5,147.5,145,146.5,26257000
2015/5/20,146.5,147,146,146.5,26920000
2015/5/21,146,146.5,144.5,145.5,40819000
2015/5/22,146,147,145,145.5,22074000
2015/5/25,146.5,147.5,145.5,147.5,16253000
2015/5/26,148.5,148.5,146.5,146.5,15545000
2015/5/27,145.5,147,145,145,23825000
2015/5/28,147,147.5,146,147,35891000
2015/5/29,147,147.5,145.5,146,56616000
2015/6/1,145.5,146,144,145,31570000
2015/6/2,144.5,144.5,143.5,144,33317000
2015/6/3,143.5,144.5,143,143,29870000
2015/6/4,142,142.5,140,141,58172000
2015/6/5,139.5,140.5,139,140,42648000
2015/6/8,139.5,140,138.5,138.5,45469000
2015/6/9,138.5,140,138,139,31575000
2015/6/10,141,141.5,139.5,139.5,37077000
2015/6/11,141,144,141,143.5,44613000
2015/6/12,144,144.5,142.5,144.5,31448000
2015/6/15,144.5,144.5,142.5,143,23608000
2015/6/16,143,143,141,142,27272000
2015/6/17,143,143.5,142,142.5,31326000
2015/6/18,142,143,142,142,28591000
2015/6/22,142,143.5,142,142,28278000
2015/6/23,143,145,142.5,144.5,37230000
2015/6/24,144.5,145,143.5,145,18555000
2015/6/25,145,147,145,146.5,43496000
2015/6/26,147,147.5,145.5,146,33561000
2015/6/29,140.5,141,138.5,138.5,53014000
2015/6/30,139,140.5,138.5,140.5,45261000
2015/7/1,140,142.5,139,141,32546000
2015/7/2,140.5,142,140.5,141.5,23908000
2015/7/3,141.5,142.5,140,142.5,16093000
2015/7/6,141,141.5,140.5,140.5,20617000
2015/7/7,141,142,140.5,140.5,26349000
2015/7/8,140.5,141,138,138,51986000
2015/7/9,134,138,134,136.5,53233000
2015/7/10,136.5,136.5,136.5,136.5,0
2015/7/13,137,139.5,137,138.5,34518000
2015/7/14,139.5,140.5,138,138.5,27536000
2015/7/15,139,139.5,138,138.5,23295000
2015/7/16,140,140,135.5,136.5,36999000
2015/7/17,138,140,138,140,55781000
2015/7/20,141.5,142,138.5,139,27655000
2015/7/21,141,141.5,139.5,140.5,19431000
2015/7/22,139,139.5,138,139,24620000
2015/7/23,137,137.5,136,136,36389000
2015/7/24,138,138,136,137,38194000
2015/7/27,135,135.5,134,134,43371000
2015/7/28,135,136.5,134,134,34219000
2015/7/29,135,136,134.5,135.5,29871000
2015/7/30,136,139,136,138.5,36097000
2015/7/31,140.5,140.5,137.5,139.5,39992000
2015/8/3,138.5,138.5,134.5,134.5,33631000
2015/8/4,135,136.5,134.5,136.5,26546000
2015/8/5,135.5,135.5,134,134,28491000
2015/8/6,136,136,132,134,38414000
2015/8/7,133,133.5,131.5,133,30554000
2015/8/10,131,131,125.5,129,63646000
2015/8/11,133.5,133.5,130.5,130.5,64344000
2015/8/12,129.5,130,127.5,128.5,41642000
2015/8/13,129,130,127.5,128,35943000
2015/8/14,128,128.5,125,126,39413000
2015/8/17,125.5,125.5,123,124,37847000
2015/8/18,125,126.5,125,126,40722000
2015/8/19,127.5,127.5,124,125,41301000
2015/8/20,124.5,126,123.5,126,38012000
2015/8/21,123,124.5,121,121,59694000
2015/8/24,120,121,112.5,115,116158000
2015/8/25,118,124,117.5,123.5,94960000
2015/8/26,121,124.5,119.5,122.5,64879000
2015/8/27,125,125,122,124,53388000
2015/8/28,127,127,124.5,125,41466000
2015/8/31,126,129,123.5,129,56941000
2015/9/1,127.5,127.5,124,124,42340000
2015/9/2,123,127,123,125.5,36973000
2015/9/3,127.5,127.5,125,127,24004000
2015/9/4,126.5,127,123.5,125,22006000
2015/9/7,124.5,126,122,122.5,25891000
2015/9/8,122.5,123.5,122,123,15090000
2015/9/9,126.5,129,126.5,129,53588000
2015/9/10,127,128,125,125,32912000
2015/9/11,125.5,127.5,124,127.5,20525000
2015/9/14,128,129,126,127.5,25508000
2015/9/15,127.5,128,125.5,126,21658000
2015/9/16,128,130,127.5,129.5,39923000
2015/9/17,130.5,131.5,130,131,49472000
2015/9/18,129.5,131.5,129,131.5,31937000
2015/9/21,130,130,128.5,129.5,29930000
2015/9/22,130,130,128.5,129,17636000
2015/9/23,127,127.5,124.5,124.5,32905000
2015/9/24,127,128,125.5,127,43432000
2015/9/25,127,127.5,125,127,24630000
2015/9/29,127,127,127,127,0
2015/9/30,128,131,127,130,67112000
2015/10/1,131,134,129.5,133.5,49600000
2015/10/2,132.5,132.5,131.5,132,25216000
2015/10/5,133,133.5,131.5,132.5,30276000
2015/10/6,135,135.5,132.5,133,48613000
2015/10/7,133.5,135,133,135,31784000
2015/10/8,137,137,135,136,31144000
2015/10/12,137,139,136.5,138.5,46971000
2015/10/13,138.5,138.5,136,137.5,36108000
2015/10/14,136.5,137.5,136,136.5,18007000
2015/10/15,139,141,139,140,57142000
2015/10/16,137,137.5,136,137.5,36196000
2015/10/19,138.5,139,137,138,26150000
2015/10/20,139,139,137.5,139,27462000
2015/10/21,139.5,140,137.5,138.5,17976000
2015/10/22,138,138.5,137,137.5,15149000
2015/10/23,140,140.5,139,140,35644000
2015/10/26,140.5,140.5,139,140,24382000
2015/10/27,138.5,140,137.5,139,26012000
2015/10/28,137,139,137,138,22522000
2015/10/29,139,139.5,136.5,136.5,20428000
2015/10/30,137,137.5,136,136.5,27844000
2015/11/2,138.5,138.5,135.5,137.5,21663000
2015/11/3,138.5,140,138,139.5,33082000
2015/11/4,141.5,144.5,141,144.5,75144000
2015/11/5,144,144.5,142.5,142.5,35773000
2015/11/6,144,144,139,140,45683000
2015/11/9,141,143,140.5,142,24833000
2015/11/10,141.5,141.5,139,139.5,23307000
2015/11/11,140.5,140.5,136.5,137.5,29412000
2015/11/12,138.5,139,138,138.5,16474000
2015/11/13,137.5,139,136,136,21639000
2015/11/16,134,135.5,134,135,32110000
2015/11/17,138,140,137.5,138.5,28188000
2015/11/18,139.5,140,136.5,137,29074000
2015/11/19,138.5,140.5,138,140.5,27426000
2015/11/20,140.5,141,140,141,20271000
2015/11/23,141,141.5,140,141,17170000
2015/11/24,140,141.5,139.5,139.5,21843000
2015/11/25,139.5,141,138.5,141,27099000
2015/11/26,141,142.5,140,142.5,31976000
2015/11/27,143,143,139,139,23135000
2015/11/30,136.5,139,136,139,108490000
2015/12/1,140.5,142.5,138.5,142.5,46117000
2015/12/2,144,144,142,142.5,31609000
2015/12/3,141.5,143,141.5,142.5,18825000
2015/12/4,141,142.5,140.5,140.5,30869000
2015/12/7,142,144.5,142,143.5,40284000
2015/12/8,143.5,144,141,142.5,32173000
2015/12/9,142,142,140.5,140.5,26751000
2015/12/10,140.5,141.5,139,141,41414000
2015/12/11,141,142,139,139.5,29914000
2015/12/14,137.5,139.5,137.5,139,32656000
2015/12/15,139.5,140.5,138,138,23558000
2015/12/16,142,144,141,143.5,56401000
2015/12/17,144.5,145,143,145,34462000
2015/12/18,143,145,142,142,36298000
2015/12/21,141.5,142.5,140.5,141.5,26847000
2015/12/22,141,142,140.5,142,17085000
2015/12/23,141,143,140.5,141.5,18064000
2015/12/24,143,143.5,142,142,13471000
2015/12/25,142,143.5,142,143,6126000
2015/12/28,143.5,144,143,143.5,10797000
2015/12/29,143.5,144,141.5,142,12801000
2015/12/30,142.5,144,142,142.5,14578000
2015/12/31,142,144,141,143,18336000
2016/1/4,142.5,143.5,139,139.5,39169000
2016/1/5,139,140,137,138,46381000
2016/1/6,138,138,135,135.5,53617000
2016/1/7,134.5,135,130.5,133,62539000
2016/1/8,132,135,132,134,50123000
2016/1/11,133,134.5,130.5,133,48345000
2016/1/12,133,134,131.5,133,34688000
2016/1/13,133.5,135.5,133,133.5,37717000
2016/1/14,130.5,132,130.5,131.5,39253000
2016/1/15,137.5,138,135.5,137,79464000
2016/1/18,135,138,134.5,137,36757000
2016/1/19,137.5,138,136,138,23737000
2016/1/20,137.5,137.5,133.5,134.5,43839000
2016/1/21,134,136.5,134,135,31933000
2016/1/22,136.5,138.5,136,138.5,33889000
2016/1/25,140,140,139,139.5,27184000
2016/1/26,137.5,139,137,137.5,24049000
2016/1/27,139,139.5,138.5,139.5,24029000
2016/1/28,138,140.5,138,140,37867000
2016/1/29,138.5,143,138,143,55616000
2016/1/30,null,null,null,null,null
2016/2/1,144,144,141.5,144,40943000
2016/2/2,144,144.5,141.5,142.5,25380000
2016/2/3,145,146,144.5,146,70465000
2016/2/15,142,146.5,142,145,72875000
2016/2/16,146,148,145.5,147.5,55006000
2016/2/17,149,149,147,148,38453000
2016/2/18,150,151,149.5,151,61657000
2016/2/19,149,151,149,151,35668000
2016/2/22,149.5,152.5,149.5,151,27003000
2016/2/23,150.5,151,149,149.5,22302000
2016/2/24,149.5,150.5,147,148,22026000
2016/2/25,149,151,148.5,150.5,25202000
2016/2/26,151,151.5,148,149,37655000
2016/3/1,148.5,152,148.5,152,38629000
2016/3/2,154,154.5,153,153,36010000
2016/3/3,154,154.5,153,154,28822000
2016/3/4,153,153.5,151.5,152.5,32794000
2016/3/7,152.5,153.5,151,152,23906000
2016/3/8,151,152,149.5,152,35683000
2016/3/9,152,153,150.5,153,24004000
2016/3/10,153,154.5,151.5,154.5,28302000
2016/3/11,154.5,155,153,155,29566000
2016/3/14,156.5,157.5,155.5,156,32751000
2016/3/15,155,156.5,153,154.5,28689000
2016/3/16,155.5,156,154,156,30962000
2016/3/17,159.5,160,157.5,158.5,48193000
2016/3/18,158.5,159.5,158.5,159.5,55975000
2016/3/21,160,160,158,160,26100000
2016/3/22,159.5,159.5,157,158.5,25809000
2016/3/23,158.5,159.5,158,159.5,27478000
2016/3/24,158,159,157,158.5,24853000
2016/3/25,158.5,159,157,158,10175000
2016/3/28,158,159,157,159,15268000
2016/3/29,158.5,159.5,158,159,18977000
2016/3/30,158.5,162,158.5,161.5,43616000
2016/3/31,162,163,159,162,49433000
2016/4/1,161,161,157.5,158.5,31564000
2016/4/6,155.5,156,153.5,153.5,58134000
2016/4/7,155,155,152.5,154.5,35238000
2016/4/8,154,158,154,157.5,41032000
2016/4/11,156,159,155.5,158.5,21758000
2016/4/12,157.5,159.5,157.5,158.5,14859000
2016/4/13,160,162,159.5,161.5,39611000
2016/4/14,162,162.5,160,161.5,31338000
2016/4/15,157,160,156,159.5,48779000
2016/4/18,158,158.5,157.5,158,20279000
2016/4/19,160,161,157,157.5,26577000
2016/4/20,157.5,158,154,154,40996000
2016/4/21,156,157,154,157,29723000
2016/4/22,155.5,158,155,156.5,28990000
2016/4/25,156.5,157.5,156,157.5,14306000
2016/4/26,156.5,158.5,156.5,158,18119000
2016/4/27,156,157.5,155.5,156.5,28845000
2016/4/28,157.5,158,153,153,48915000
2016/4/29,151,151,149,150,66445000
2016/5/3,148,148.5,146.5,147.5,68550000
2016/5/4,147,149,146.5,147,52973000
2016/5/5,147.5,148.5,146,147.5,38269000
2016/5/6,148.5,148.5,147,148,36510000
2016/5/9,148.5,149,146.5,147.5,38478000
2016/5/10,147,148,146.5,147,29785000
2016/5/11,148.5,149,146.5,147,40057000
2016/5/12,147,148,146,146,23749000
2016/5/13,145,145.5,143,144,60038000
2016/5/16,143,145.5,143,144.5,31133000
2016/5/17,145.5,147,145,147,30277000
2016/5/18,146,147,145,147,31057000
2016/5/19,148,148.5,145.5,147,35132000
2016/5/20,147.5,149.5,147,148.5,36306000
2016/5/23,150.5,154.5,149.5,154,50127000
2016/5/24,152.5,153.5,151,151,24470000
2016/5/25,153.5,155,152.5,154.5,30719000
2016/5/26,154.5,155,153.5,155,17196000
2016/5/27,156,156.5,154.5,156.5,22992000
2016/5/30,157,158,155,157,36339000
2016/5/31,156.5,157.5,155,156.5,69656000
2016/6/1,156,159,156,159,26926000
2016/6/2,159,160,158,159,21977000
2016/6/3,159,160.5,159,160.5,31853000
2016/6/4,null,null,null,null,null
2016/6/6,161,162,160,161,28757000
2016/6/7,161.5,163.5,161,162,47046000
2016/6/8,164,166,163.5,165.5,45214000
2016/6/13,161,162.5,161,162,48750000
2016/6/14,161,163,161,162,27509000
2016/6/15,162,163,161,163,29270000
2016/6/16,161.5,162.5,159.5,160.5,24408000
2016/6/17,162.5,164.5,162,163,30633000
2016/6/20,164.5,165,163,163,24911000
2016/6/21,164,165.5,163.5,165.5,27970000
2016/6/22,164.5,166,163.5,166,30359000
2016/6/23,165.5,166,164,164,22494000
2016/6/24,164,164,154.5,159,86547000
2016/6/27,154.5,156,154,155.5,42874000
2016/6/28,155.5,157.5,155,157,1327000
2016/6/29,158.5,160,158,159,31514000
2016/6/30,161,163,159.5,162.5,42398000
2016/7/1,164.5,166,163.5,166,36212000
2016/7/4,165.5,166.5,164.5,166,25724000
2016/7/5,165,165.5,164,164,16346000
2016/7/6,163,163,160.5,161.5,34803000
2016/7/7,163.5,165,163,164.5,23769000
2016/7/8,164.5,164.5,164.5,164.5,0
2016/7/11,170,170.5,168.5,170,50643000
2016/7/12,171,171.5,169.5,171,41961000
2016/7/13,169.5,170,167,168.5,50653000
2016/7/14,167,170,167,169,34790000
2016/7/15,168,169.5,166.5,169.5,41546000
2016/7/18,168,170,168,169.5,24749000
2016/7/19,170.5,170.5,169,170.5,42456000
2016/7/20,170,170.5,169,170,38053000
2016/7/21,171,172,170,172,33130000
2016/7/22,172,172,170.5,171,28504000
2016/7/25,172,173,169,171.5,27145000
2016/7/26,172,173,171.5,173,32685000
2016/7/27,175,176,174.5,175,34117000
2016/7/28,175,176.5,173,176.5,31071000
2016/7/29,177,177,172.5,172.5,29795000
2016/8/1,175,177,174.5,177,34188000
2016/8/2,177.5,177.5,175.5,176,15250000
2016/8/3,172.5,174,172,172.5,21627000
2016/8/4,173,174.5,172.5,174.5,13612000
2016/8/5,175,177.5,174,177,25759000
2016/8/8,178,178,176.5,178,16200000
2016/8/9,178.5,179.5,177,178.5,16413000
2016/8/10,179,179.5,178,179.5,19279000
2016/8/11,177.5,178,175.5,176.5,28180000
2016/8/12,178.5,178.5,177,177.5,22947000
2016/8/15,178.5,179,177.5,179,12020000
2016/8/16,178,179,175,175.5,34260000
2016/8/17,177,177.5,176,177,21487000
2016/8/18,176,176.5,175,176,27253000
2016/8/19,177,177.5,174,174.5,23470000
2016/8/22,173,174,171.5,172.5,21337000
2016/8/23,174,175,173.5,175,20888000
2016/8/24,175,175.5,173.5,173.5,12092000
2016/8/25,175,177,174.5,176.5,23892000
2016/8/26,175,177,175,177,15076000
2016/8/29,175,177,174,176,16975000
2016/8/30,176,176.5,174,174,19471000
2016/8/31,176.5,177,174.5,176.5,38524000
2016/9/1,176,176,173,174,22692000
2016/9/2,176.5,176.5,174,174,16999000
2016/9/5,176.5,177.5,176.5,177,22381000
2016/9/6,177,179,176.5,178,26024000
2016/9/7,180.5,185,180,185,49761000
2016/9/8,182.5,184.5,182.5,183,30204000
2016/9/9,181,181,179.5,180.5,29793000
2016/9/10,null,null,null,null,null
2016/9/12,177.5,177.5,174,175.5,43036000
2016/9/13,176.5,176.5,173.5,175.5,36834000
2016/9/14,174,176,173.5,174,52877000
2016/9/19,179.5,183,178.5,183,57055000
2016/9/20,182,183.5,181.5,183.5,23641000
2016/9/21,181,184,180.5,184,25008000
2016/9/22,185,185.5,183.5,185,20980000
2016/9/23,185,187.5,184.5,187,23213000
2016/9/26,183.5,185,183,183.5,24225000
2016/9/27,183.5,183.5,183.5,183.5,0
2016/9/28,183.5,183.5,183.5,183.5,0
2016/9/29,185.5,187.5,185.5,187,54272000
2016/9/30,185.5,186.5,182.5,184,42592000
2016/10/3,186,186.5,184.5,186,17742000
2016/10/4,185,187,185,187,16859000
2016/10/5,186,186,184.5,186,19148000
2016/10/6,185,187.5,185,187.5,15524000
2016/10/7,188,188,186,188,15380000
2016/10/11,191,191,186,187.5,30294000
2016/10/12,186.5,190,186,189.5,22604000
2016/10/13,190.5,191,187,188.5,37642000
2016/10/14,187,189,186.5,188,33248000
2016/10/17,186.5,187.5,185,186.5,37340000
2016/10/18,186.5,187,185.5,187,38150000
2016/10/19,187.5,189.5,187.5,189.5,33272000
2016/10/20,189.5,190.5,189,190.5,13226000
2016/10/21,191,192,188.5,188.5,21936000
2016/10/24,191,191,189.5,191,13459000
2016/10/25,192,193,191,193,18878000
2016/10/26,190.5,192.5,190.5,191.5,21043000
2016/10/27,191.5,191.5,188.5,188.5,26231000
2016/10/28,189.5,190,188.5,189.5,24348000
2016/10/31,189,190.5,186.5,188.5,25330000
2016/11/1,188.5,189.5,187.5,189.5,14290000
2016/11/2,187.5,188,186,186,16488000
2016/11/3,185.5,186.5,184.5,184.5,25038000
2016/11/4,184.5,186,184,184.5,14860000
2016/11/7,186.5,189,186,189,21332000
2016/11/8,190,190,188,188.5,15437000
2016/11/9,190,190.5,182,182,55541000
2016/11/10,187,188,185.5,185.5,38234000
2016/11/11,181.5,183,181,181.5,67603000
2016/11/14,181,182,180,180.5,47989000
2016/11/15,179.5,182,179,180,33505000
2016/11/16,180.5,183,180,180,34833000
2016/11/17,182,182.5,180.5,181.5,22434000
2016/11/18,181.5,181.5,180,181,22474000
2016/11/21,180.5,181.5,180,181,15600000
2016/11/22,182,185,181.5,184,27599000
2016/11/23,184.5,186.5,184,185.5,22128000
2016/11/24,184,185,183,183,14980000
2016/11/25,182.5,183.5,182,182,10116000
2016/11/28,181.5,184,181.5,184,19096000
2016/11/29,183.5,185,182,182,24408000
2016/11/30,181.5,183,181.5,183,39671000
2016/12/1,182,183,181.5,183,13908000
2016/12/2,179,179.5,178,178,53836000
2016/12/5,178,180,178,179,29191000
2016/12/6,181,183,180.5,182,27309000
2016/12/7,183,183.5,181.5,181.5,14110000
2016/12/8,184,185.5,183,185.5,27257000
2016/12/9,186,186,184.5,186,24867000
2016/12/12,186,187,184,185,18796000
2016/12/13,186.5,186.5,184.5,186,23591000
2016/12/14,186.5,187.5,185.5,187.5,16571000
2016/12/15,185,187.5,184.5,187,22803000
2016/12/16,185.5,187,185,185,35985000
2016/12/19,184,184.5,182.5,182.5,20535000
2016/12/20,181,182.5,180,182.5,24139000
2016/12/21,181,182,180,180,29690000
2016/12/22,180,180.5,179,179,26269000
2016/12/23,179,180,178.5,178.5,22961000
2016/12/26,179,180,179,179.5,5675000
2016/12/27,180,180.5,179.5,180,8252000
2016/12/28,181,182,180.5,182,21226000
2016/12/29,180,181.5,180,180,30200000
2016/12/30,181,182.5,180,181.5,36610000
2017/1/3,181.5,183.5,181,183,22630000
2017/1/4,183,184,181.5,183,24369000
2017/1/5,182,183.5,181.5,183.5,20979000
2017/1/6,184,184.5,183.5,184,22443000
2017/1/9,184,185,183,184,18569000
2017/1/10,184.5,185.5,183.5,184,20198000
2017/1/11,185,185,181.5,182,29107000
2017/1/12,182.5,185.5,182.5,184.5,41130000
2017/1/13,180.5,182.5,180.5,181.5,52352000
2017/1/16,180,180.5,179,179.5,30756000
